Country,Population
Argentina,"44,688,864"
Bolivia,"11,215,674"
Brazil,"210,867,954"
Chile,"18,197,209"
Colombia,"49,464,683"
Ecuador,"16,863,425"
Falkland Islands,"2,922"
French Guiana,"289,763"
Guyana,"782,225"
Paraguay,"6,896,908"
Peru,"32,551,815"
Suriname,"568,301"
Uruguay,"3,469,551"
Venezuela,"32,381,221"
